workspace_id,client_name,created_at,total_forms,active_forms,inactive_forms,multi_step_forms,forms_with_payments,forms_with_esignature,forms_with_upload,submissions,billing_cycle,source_system,last_refresh_utc
7758e9f3-bdcd-4ed5-a83d-db03e6a9ea9a,hfisd,2025-02-12T16:14:43.363940+00:00,49,16,33,3,49,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
95d2581d-0f57-407b-9fb0-cd8f0362c8d2,nhsd,2025-02-12T16:30:57.229192+00:00,48,12,36,29,48,0,0,2,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
cd9590ff-b75c-4629-abdf-f3f9b11611bf,laurelhillpta,2025-02-12T16:21:33.370792+00:00,48,0,48,0,48,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
761ca2ee-e7df-48d8-8b90-871022a55bef,shhsband,2025-02-12T16:43:45.671684+00:00,46,2,44,1,46,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
69860e93-d14f-44aa-845c-8c125ac13991,andover385,2025-02-10T16:04:16.207747+00:00,45,31,14,0,45,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
01128220-af74-4c52-9925-91b78be0c665,cbisd,2025-02-12T15:56:58.667012+00:00,45,3,42,0,45,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
9cae6477-dee6-4e1a-a516-859fa47ea5d4,orland135,2025-02-12T16:33:21.979398+00:00,44,9,35,9,44,0,0,1,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
97cf3be4-4f2b-4318-8c50-4fc300694a5f,ccschoolofthearts,2025-02-12T15:57:21.842959+00:00,44,1,43,0,44,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
727fd836-4780-4af1-aaa6-3720173825f5,sancarlos,2025-08-12T17:06:23.824873+00:00,44,2,42,43,3,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
6fd3ca7c-6a1b-4dc5-b300-6aff91f10edf,uppermorelandsd,2025-02-12T16:51:01.790095+00:00,44,5,39,0,44,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
d70cd3df-aabc-4d23-88b9-41849cbfd076,worldcompass,2025-02-12T16:58:13.661013+00:00,44,0,44,0,44,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
667e5e3d-5e44-45a8-990f-efb08d3a4e0b,arlingtonschools,2025-02-10T16:04:45.041916+00:00,43,0,43,0,43,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
7692403a-3720-4d3c-87fa-59175938a8ce,bfschools,2025-02-12T15:52:42.902630+00:00,43,4,39,0,43,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
3502713a-a7c3-446b-b2bd-4d8ef25465b2,staffordmsd,2025-02-12T16:46:14.883084+00:00,43,22,21,1,43,0,0,0,2026-07-03..2026-08-03,Feathery,2026-07-03T15:50:20.642Z
