issue_key,issue_id,summary,issue_type,project_key,team_name,sprint_name,sprint_id,sprint_start_date,sprint_end_date,quarter_label,status_at_sprint_start,status_at_sprint_end,points_at_sprint_start,points_at_sprint_end,completed_in_sprint_flag,in_sprint_wip_flag,added_after_sprint_start_flag,removed_after_sprint_start_flag
OV-80514,327181,Create/Update x-ray test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80515,327182,Execute test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80516,327183,Add to release card 5/14,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80517,327184,Merge to release branch 05/14,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80519,327186,Do the thing,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,Ready To Test,,,no,yes,no,no
OV-80520,327187,Create/Update x-ray test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80521,327188,Execute test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80522,327189,Add to release branch 04/23,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80523,327190,Merge to release branch and create PR  04/23,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80680,328534,Do the thing,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,In Development,,,no,yes,no,no
OV-80681,328536,Create/Update x-ray test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80682,328538,Execute test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80683,328540,Add to release card,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80684,328542,Merge to release branch,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80771,329254,Do the thing,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,In Secure Code Review,Closed,,,no,yes,no,no
OV-80772,329255,Create/Update x-ray test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,In Development,Closed,,,yes,yes,no,no
OV-80773,329256,Execute test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,Closed,,,no,yes,no,no
OV-80774,329257,Add to release ticket 04/16,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,Closed,,,no,no,no,no
OV-80775,329258,Merge to release branch 04/16,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,In Development,,,no,yes,no,no
OV-80777,329260,Do the thing,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,In Development,In Development,,,no,yes,no,no
OV-80778,329261,Create/Update x-ray test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80779,329262,Execute test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80780,329263,Add jira to release ticket 4/23,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80781,329264,Merge to release branch 04/23,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80783,329268,Do the thing,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80784,329269,Create/Update x-ray test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80785,329270,Execute test cases,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80786,329271,Add to release card,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
OV-80787,329272,Merge to release branch,Sub-task,OV,Team Connexpoint,CXP26Q2 - Sprint 0,9916,2026-04-02T15:35:35.536Z,2026-04-08T07:00:00.000Z,2026-Q2,New,New,,,no,no,no,no
