issue_key,issue_id,team_name,project_key,issue_type,quarter_label,cycle_time_start_status,cycle_time_start_utc,cycle_time_end_status,cycle_time_end_utc,resolution_at_cycle_time_end,cycle_time_days,cycle_time_weeks,completed_in_done_category_flag,completed_with_allowed_resolution_flag,data_quality_note,last_refresh_utc
OV-81143,331325,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-21T15:37:58.773Z,Closed,2026-04-21T16:58:48.373Z,Done,0.06,0.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-80893,330279,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-08T15:43:25.012Z,Closed,2026-04-22T15:38:03.942Z,Done,14,2,yes,yes,,2026-06-10T00:04:52.036Z
OV-80896,330285,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-22T15:38:25.957Z,Closed,2026-04-22T15:54:33.049Z,Done,0.01,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-80897,330287,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-22T15:38:27.818Z,Closed,2026-04-22T16:17:49.849Z,Done,0.03,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-82486,334039,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-22T16:18:37.577Z,Closed,2026-04-22T16:51:23.177Z,Done,0.02,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-82485,334038,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-10T15:43:59.495Z,Closed,2026-04-23T15:24:10.587Z,Done,12.99,1.86,yes,yes,,2026-06-10T00:04:52.036Z
OV-82432,333653,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-23T15:29:10.776Z,Closed,2026-04-24T15:31:07.893Z,Done,1,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-81190,331634,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-07T16:44:36.810Z,Closed,2026-04-24T15:31:50.456Z,Done,16.95,2.42,yes,yes,,2026-06-10T00:04:52.036Z
OV-80963,330824,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-23T19:15:57.817Z,Closed,2026-04-24T17:37:04.611Z,Done,0.93,0.13,yes,yes,,2026-06-10T00:04:52.036Z
OV-82430,333649,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-24T18:01:52.477Z,Closed,2026-04-27T15:01:14.822Z,Done,2.87,0.41,yes,yes,,2026-06-10T00:04:52.036Z
OV-82427,333643,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-24T18:01:54.612Z,Closed,2026-04-27T15:01:22.939Z,Done,2.87,0.41,yes,yes,,2026-06-10T00:04:52.036Z
OV-81194,331638,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-23T23:09:56.281Z,Closed,2026-04-28T15:20:44.341Z,Done,4.67,0.67,yes,yes,,2026-06-10T00:04:52.036Z
OV-80974,330839,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-23T23:14:01.211Z,Closed,2026-04-28T15:34:33.494Z,Done,4.68,0.67,yes,yes,,2026-06-10T00:04:52.036Z
OV-80966,330827,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-27T15:33:53.876Z,Closed,2026-04-28T15:45:25.345Z,Done,1.01,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-81013,330879,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-28T21:20:26.002Z,Closed,2026-04-28T21:36:11.553Z,Done,0.01,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-80929,330497,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-28T18:39:25.415Z,Closed,2026-04-29T15:40:20.005Z,Done,0.88,0.13,yes,yes,,2026-06-10T00:04:52.036Z
OV-80513,327180,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-06T15:42:31.624Z,Closed,2026-04-30T15:33:20.747Z,Done,23.99,3.43,yes,yes,,2026-06-10T00:04:52.036Z
OV-82434,333657,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-29T15:59:47.434Z,Closed,2026-04-30T16:15:49.996Z,Done,1.01,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82435,333659,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-29T15:59:49.447Z,Closed,2026-04-30T16:15:57.873Z,Done,1.01,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82443,333675,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-29T16:47:05.760Z,Closed,2026-04-30T16:16:11.215Z,Done,0.98,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82448,333685,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-29T16:47:08.386Z,Closed,2026-04-30T16:16:22.423Z,Done,0.98,0.14,yes,yes,,2026-06-10T00:04:52.036Z
OV-82449,333687,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-30T15:35:17.962Z,Closed,2026-04-30T16:16:34.179Z,Done,0.03,0,yes,yes,,2026-06-10T00:04:52.036Z
OV-82445,333679,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-29T13:06:02.990Z,Closed,2026-04-30T18:24:04.989Z,Done,1.22,0.17,yes,yes,,2026-06-10T00:04:52.036Z
OV-81012,330878,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-27T15:43:07.104Z,Closed,2026-04-30T18:33:25.267Z,Done,3.12,0.45,yes,yes,,2026-06-10T00:04:52.036Z
OV-81007,330873,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-30T18:57:38.099Z,Closed,2026-04-30T20:12:33.065Z,Done,0.05,0.01,yes,yes,,2026-06-10T00:04:52.036Z
OV-81016,330882,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-30T18:44:10.028Z,Closed,2026-05-04T15:41:41.563Z,Done,3.87,0.55,yes,yes,,2026-06-10T00:04:52.036Z
OV-80976,330841,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-27T15:43:29.568Z,Closed,2026-05-04T15:44:59.183Z,Done,7,1,yes,yes,,2026-06-10T00:04:52.036Z
OV-81006,330872,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-04-24T16:57:43.464Z,Closed,2026-05-04T20:09:46.336Z,Done,10.13,1.45,yes,yes,,2026-06-10T00:04:52.036Z
OV-82996,336488,Team Connexpoint,OV,Sub-task,2026-Q2,In Development,2026-05-04T20:31:06.250Z,Closed,2026-05-04T20:31:18.814Z,Done,0,0,yes,yes,,2026-06-10T00:04:52.036Z
